생산일자,제품,생산량,출고량,현재고량
2018-08-02,B,0,19000,71400
2018-08-06,B,0,13000,58400
2018-08-07,B,0,5000,53400
2018-08-08,B,83500,4000,132900
2018-08-09,B,0,25000,107900
2018-08-13,B,0,17000,90900
2018-08-14,B,0,22000,68900
2018-08-16,B,0,13000,55900
2018-08-17,B,0,7000,48900
2018-08-20,B,0,8000,40900
2018-08-22,B,27700,17000,51600
2018-08-23,B,68400,14000,106000
2018-08-24,B,0,9000,97000
2018-08-28,B,0,8000,89000
2018-08-29,B,0,4000,85000
2018-08-30,B,0,15000,70000
2018-08-31,B,0,5000,65000
2018-09-03,B,0,14000,51000
2018-09-04,B,0,11000,40000
2018-09-05,B,56600,9000,87600
2018-09-06,B,39350,12000,114950
2018-09-10,B,0,12000,102950
2018-09-11,B,0,5000,97950
2018-09-12,B,0,17000,80950
2018-09-13,B,0,14000,66950
2018-09-14,B,0,12000,54950
2018-09-17,B,0,22000,32950
2018-09-18,B,27650,6000,54600
2018-09-19,B,41000,20000,75600
2018-09-20,B,0,8000,67600
2018-09-21,B,0,13000,54600
2018-09-27,B,0,15000,39600
2018-09-28,B,0,5000,34600
2018-10-01,B,56000,8000,82600
2018-10-02,B,26400,24000,85000
2018-10-04,B,0,19000,66000
2018-10-08,B,0,19000,47000
2018-10-11,B,0,15000,32000
2018-10-12,B,62300,0,94300
2018-10-15,B,0,15000,79300
2018-10-16,B,0,8000,71300
2018-10-18,B,0,8000,63300
2018-10-19,B,0,11000,52300
2018-10-22,B,0,9000,43300
2018-10-23,B,47300,0,90600
2018-10-24,B,22900,7000,106500
2018-10-25,B,0,13000,93500
2018-10-26,B,0,5000,88500
2018-10-29,B,0,8000,80500
2018-10-30,B,0,11000,69500
2018-10-31,B,0,2000,67500
2018-11-01,B,0,12000,55500
2018-11-02,B,0,8000,47500
2018-11-05,B,112800,23000,137300
2018-11-07,B,0,12000,125300
2018-11-08,B,0,9000,116300
2018-11-09,B,0,5000,111300
2018-11-12,B,0,14000,97300
2018-11-13,B,27375,6000,118675
2018-11-15,B,0,13000,105675
2018-11-16,B,0,16000,89675
2018-11-19,B,0,13000,76675
2018-11-20,B,68150,0,144825
2018-11-21,B,0,9000,135825
2018-11-22,B,0,10000,125825
2018-11-26,B,0,14000,111825
2018-11-28,B,0,6000,105825
2018-11-29,B,0,25000,80825
2018-12-03,B,0,23000,57825
2018-12-05,B,84150,0,141975
2018-12-06,B,12000,10000,143975
2018-12-07,B,0,18000,125975
2018-12-10,B,0,12000,113975
2018-12-11,B,0,14000,99975
2018-12-12,B,0,25000,74975
2018-12-13,B,0,3000,71975
2018-12-14,B,0,15000,56975
2018-12-17,B,13625,27000,43600
2018-12-18,B,81400,13000,112000
2018-12-19,B,0,24000,88000
2018-12-20,B,28600,35000,81600
2018-12-21,B,0,4000,77600
2018-12-24,B,0,10000,67600
2018-12-26,B,56000,28000,95600
2018-12-27,B,26500,10000,112100
2018-12-28,B,0,12000,100100
2019-01-03,B,0,1000,99100
2019-01-04,B,0,14000,85100
2019-01-07,B,0,6000,79100
2019-01-09,B,0,8000,71100
2019-01-10,B,41500,0,112600
2019-01-11,B,51700,0,164300
2019-01-14,B,0,4000,160300
2019-01-15,B,0,5000,155300
2019-01-17,B,0,11000,144300
2019-01-18,B,0,6000,138300
2019-01-21,B,0,12000,126300
2019-01-23,B,0,4000,122300
2019-01-24,B,0,4000,118300
2019-01-25,B,0,2000,116300
2019-01-29,B,0,11000,105300
2019-01-30,B,0,8000,97300
2019-01-31,B,0,9000,88300
2019-02-01,B,0,2000,86300
2019-02-07,B,42000,6000,122300
2019-02-08,B,43300,10000,155600
2019-02-13,B,0,2000,153600
2019-02-14,B,0,4000,149600
2019-02-15,B,0,8000,141600
2019-02-19,B,0,7000,134600
2019-02-20,B,28000,6000,156600
2019-02-21,B,25700,15000,167300
2019-02-22,B,0,12000,155300
2019-02-25,B,0,5000,150300
2019-02-26,B,0,4000,146300
2019-02-27,B,0,8000,138300
2019-02-28,B,0,27000,111300
2019-03-04,B,68800,3000,177100
2019-03-05,B,0,8000,169100
2019-03-06,B,0,10000,159100
2019-03-07,B,0,9000,150100
2019-03-08,B,0,4000,146100
2019-03-11,B,0,7000,139100
2019-03-13,B,0,9000,130100
2019-03-14,B,0,7000,123100
2019-03-15,B,0,2000,121100
2019-03-18,B,0,5000,116100
2019-03-19,B,54000,14000,156100
2019-03-20,B,0,3000,153100
2019-03-21,B,0,10000,143100
2019-03-22,B,0,3000,140100
2019-03-25,B,0,17000,123100
2019-03-27,B,0,7000,116100
2019-03-28,B,13600,8000,121700
2019-03-29,B,0,3000,118700
2019-04-03,B,52300,11000,160000
2019-04-04,B,0,5000,155000
2019-04-05,B,0,13000,142000
2019-04-08,B,0,8000,134000
2019-04-10,B,41800,29000,146800
2019-04-12,B,0,5000,141800
2019-04-15,B,0,4000,137800
2019-04-16,B,0,3000,134800
2019-04-17,B,0,20000,114800
2019-04-18,B,28000,0,142800
2019-04-19,B,62500,10000,195300
2019-04-22,B,0,4000,191300
2019-04-23,B,0,20000,171300
2019-04-25,B,0,17000,154300
2019-04-26,B,0,7000,147300
2019-04-29,B,0,8000,139300
2019-05-02,B,0,23000,116300
2019-05-03,B,0,10000,106300
2019-05-07,B,85600,9000,182900
2019-05-08,B,0,6000,176900
2019-05-09,B,0,9000,167900
2019-05-10,B,0,7000,160900
2019-05-13,B,27700,4000,184600
2019-05-14,B,13700,8000,190300
2019-05-15,B,0,15000,175300
2019-05-16,B,0,14000,161300
2019-05-17,B,0,4000,157300
2019-05-20,B,0,23000,134300
2019-05-21,B,0,8000,126300
2019-05-23,B,0,2000,124300
2019-05-24,B,0,14000,110300
2019-05-27,B,0,11000,99300
2019-05-29,B,0,10000,89300
2019-05-30,B,38150,0,127450
2019-05-31,B,0,11000,116450
2019-06-03,B,42000,16000,142450
2019-06-04,B,12000,6000,148450
2019-06-05,B,0,9000,139450
2019-06-07,B,0,14000,125450
2019-06-10,B,0,14000,111450
2019-06-11,B,0,6000,105450
2019-06-12,B,70150,3000,172600
2019-06-13,B,12800,4000,181400
2019-06-14,B,0,3000,178400
2019-06-17,B,0,3000,175400
2019-06-19,B,0,3000,172400
2019-06-20,B,0,19000,153400
2019-06-21,B,0,2000,151400
2019-06-24,B,0,4000,147400
2019-06-25,B,0,23000,124400
2019-06-26,B,14000,4000,134400
2019-06-27,B,9300,16000,127700
2019-06-28,B,0,28000,99700
2019-07-01,B,86150,0,185850
2019-07-08,B,0,13000,172850
2019-07-10,B,0,25000,147850
2019-07-12,B,0,5000,142850
2019-07-15,B,0,3000,139850
2019-07-16,B,0,9000,130850
2019-07-17,B,55750,17000,169600
2019-07-18,B,22000,3000,188600
2019-07-22,B,0,16000,172600
2019-07-23,B,0,14000,158600
2019-07-25,B,0,11000,147600
2019-07-26,B,0,15000,132600
2019-07-29,B,0,3000,129600
2019-07-30,B,0,11000,118600
2019-07-31,B,70000,21000,167600
2019-08-01,B,13000,0,180600
2019-08-02,B,0,19000,161600
2019-08-06,B,0,11000,150600
2019-08-07,B,28000,11000,167600
2019-08-08,B,81500,0,249100
2019-08-09,B,0,3000,246100
2019-08-12,B,0,8000,238100
2019-08-13,B,0,16000,222100
2019-08-14,B,0,8000,214100
2019-08-16,B,0,6000,208100
2019-08-19,B,0,13000,195100
2019-08-21,B,0,25000,170100
2019-08-22,B,0,2000,168100
2019-08-23,B,0,21000,147100
2019-08-28,B,0,22000,125100
2019-08-30,B,0,5000,120100
2019-09-02,B,95900,17000,199000
2019-09-03,B,0,8000,191000
2019-09-04,B,0,10000,181000
2019-09-05,B,0,9000,172000
2019-09-06,B,0,6000,166000
2019-09-09,B,0,13000,153000
2019-09-10,B,26600,13000,166600
2019-09-11,B,0,21000,145600
2019-09-16,B,0,9000,136600
2019-09-18,B,0,14000,122600
2019-09-19,B,0,8000,114600
2019-09-20,B,0,4000,110600
2019-09-23,B,0,4000,106600
2019-09-24,B,83000,26000,163600
2019-09-25,B,0,3000,160600
2019-09-27,B,0,5000,155600
2019-09-30,B,0,3000,152600
2019-10-01,B,0,8000,144600
2019-10-02,B,0,16000,128600
2019-10-04,B,0,20000,108600
2019-10-07,B,0,5000,103600
2019-10-08,B,82400,14000,172000
2019-10-10,B,0,21000,151000
2019-10-11,B,0,13000,138000
2019-10-16,B,41600,23000,156600
2019-10-17,B,12500,0,169100
2019-10-18,B,0,4000,165100
